('Barrie Youngfellow', '/wiki/Barrie_Youngfellow')
('Michelle Pfeiffer', '/wiki/Michelle_Pfeiffer')
('Drew Barrymore', '/wiki/Drew_Barrymore')
('Diora Baird', '/wiki/Diora_Baird')
('Yvonne Zima', '/wiki/Yvonne_Zima')
('Sarah E. Daniels', '/wiki/Sarah_E._Daniels')
('Molly Shannon', '/wiki/Molly_Shannon')
('Lana Turner', '/wiki/Lana_Turner')
('Talia Shire', '/wiki/Talia_Shire')
('Beanie Feldstein', '/wiki/Beanie_Feldstein')
('Diahnne Abbott', '/wiki/Diahnne_Abbott')
('Amy Jo Johnson', '/wiki/Amy_Jo_Johnson')
('Doris Belack', '/wiki/Doris_Belack')
('Veronica Lake', '/wiki/Veronica_Lake')
('Kelly Lynch', '/wiki/Kelly_Lynch')
('Chloë Grace Moretz', '/wiki/Chlo%C3%AB_Grace_Moretz')
('Donna Pescow', '/wiki/Donna_Pescow')
('Mare Winningham', '/wiki/Mare_Winningham')
('Patsy Kelly', '/wiki/Patsy_Kelly')
('Barbara Rhoades', '/wiki/Barbara_Rhoades')
('Zelda Rubinstein', '/wiki/Zelda_Rubinstein')
('Margaret Avery', '/wiki/Margaret_Avery')
('Sylvia Miles', '/wiki/Sylvia_Miles')
('Kimberly Foster', '/wiki/Kimberly_Foster')
('Kristin Nelson', '/wiki/Kristin_Nelson')
('Vanessa Zima', '/wiki/Vanessa_Zima')
('Tina Majorino', '/wiki/Tina_Majorino')
('Cynthia Watros', '/wiki/Cynthia_Watros')
('Caroline McWilliams', '/wiki/Caroline_McWilliams')
('Linda Hamilton', '/wiki/Linda_Hamilton')
('Anjelica Huston', '/wiki/Anjelica_Huston')
('Tovah Feldshuh', '/wiki/Tovah_Feldshuh')
('Deborah Ann Woll', '/wiki/Deborah_Ann_Woll')
('Catherine Keener', '/wiki/Catherine_Keener')
('Vanessa Marcil', '/wiki/Vanessa_Marcil')
('Anne Shirley (actress)', '/wiki/Anne_Shirley_(actress)')
('Annette Bening', '/wiki/Annette_Bening')
('Jennifer Lien', '/wiki/Jennifer_Lien')
('Linda Fiorentino', '/wiki/Linda_Fiorentino')
('Cassie Scerbo', '/wiki/Cassie_Scerbo')
('Zelda Williams', '/wiki/Zelda_Williams')
('Gloria Grahame', '/wiki/Gloria_Grahame')
('Rachael Harris', '/wiki/Rachael_Harris')
('Scout Taylor-Compton', '/wiki/Scout_Taylor-Compton')
('Suzanne Somers', '/wiki/Suzanne_Somers')
('Rita Moreno', '/wiki/Rita_Moreno')
('Ellen DeGeneres', '/wiki/Ellen_DeGeneres')
('Adrienne Wilkinson', '/wiki/Adrienne_Wilkinson')
('Ricki Lake', '/wiki/Ricki_Lake')
('Danielle Bisutti', '/wiki/Danielle_Bisutti')
('Jeanne Cagney', '/wiki/Jeanne_Cagney')
('Gabourey Sidibe', '/wiki/Gabourey_Sidibe')
('Martha Plimpton', '/wiki/Martha_Plimpton')
('Janet Jones', '/wiki/Janet_Jones')
('Kiersey Clemons', '/wiki/Kiersey_Clemons')
('Tracee Ellis Ross', '/wiki/Tracee_Ellis_Ross')
('Hallie Todd', '/wiki/Hallie_Todd')
('Christina Vidal', '/wiki/Christina_Vidal')
('Sophia Bush', '/wiki/Sophia_Bush')
('Genevieve Padalecki', '/wiki/Genevieve_Padalecki')
('Mary Lynn Rajskub', '/wiki/Mary_Lynn_Rajskub')
('Jane Russell', '/wiki/Jane_Russell')
('Nicollette Sheridan', '/wiki/Nicollette_Sheridan')
('Kaylee DeFer', '/wiki/Kaylee_DeFer')
('Jayne Brook', '/wiki/Jayne_Brook')
('Gillian Anderson', '/wiki/Gillian_Anderson')
('Ashley Argota', '/wiki/Ashley_Argota')
('Janina Gavankar', '/wiki/Janina_Gavankar')
('Betsy Palmer', '/wiki/Betsy_Palmer')
('Ethel Waters', '/wiki/Ethel_Waters')
('Dinah Shore', '/wiki/Dinah_Shore')
("Ja'Net DuBois", '/wiki/Ja%27Net_DuBois')('Kim Basinger', '/wiki/Kim_Basinger')
('Andrea Anders', '/wiki/Andrea_Anders')
('Anne Dudek', '/wiki/Anne_Dudek')
('Dorothy Lamour', '/wiki/Dorothy_Lamour')
('Daniella Monet', '/wiki/Daniella_Monet')
('Kaki Hunter', '/wiki/Kaki_Hunter')
('Natalie Zea', '/wiki/Natalie_Zea')
('Alice Playten', '/wiki/Alice_Playten')
('Mary Tyler Moore', '/wiki/Mary_Tyler_Moore')
('Kellita Smith', '/wiki/Kellita_Smith')
('Julie Anne Haddock', '/wiki/Julie_Anne_Haddock')
('Regina Hall', '/wiki/Regina_Hall')
('AJ Michalka', '/wiki/AJ_Michalka')
('Jaz Sinclair', '/wiki/Jaz_Sinclair')
('Elizabeth Hartman', '/wiki/Elizabeth_Hartman')
('Gretchen Mol', '/wiki/Gretchen_Mol')
('Michael Learned', '/wiki/Michael_Learned')
('Vicki Lewis', '/wiki/Vicki_Lewis')
('Thelma Todd', '/wiki/Thelma_Todd')
('Marin Ireland', '/wiki/Marin_Ireland')
('Grace Moore', '/wiki/Grace_Moore')
('Raini Rodriguez', '/wiki/Raini_Rodriguez')
('Hope Davis', '/wiki/Hope_Davis')
('Suzzanne Douglas', '/wiki/Suzzanne_Douglas')
('Rene Russo', '/wiki/Rene_Russo')
('Sue Carol', '/wiki/Sue_Carol')
('Allison Hayes', '/wiki/Allison_Hayes')
('Kathryn Hahn', '/wiki/Kathryn_Hahn')
('Patricia Elliott', '/wiki/Patricia_Elliott')
('Riley Keough', '/wiki/Riley_Keough')
('Sara Gilbert', '/wiki/Sara_Gilbert')
('Kelly Carlson', '/wiki/Kelly_Carlson')
('Dorothy Comingore', '/wiki/Dorothy_Comingore')
('Marla Sokoloff', '/wiki/Marla_Sokoloff')
('Gina Carano', '/wiki/Gina_Carano')
('Barbara Hershey', '/wiki/Barbara_Hershey')
('Willow Smith', '/wiki/Willow_Smith')
('Polly Bergen', '/wiki/Polly_Bergen')
('Marcia Mae Jones', '/wiki/Marcia_Mae_Jones')
('Mary McDonnell', '/wiki/Mary_McDonnell')
('Anne Bancroft', '/wiki/Anne_Bancroft')
('Fay Wray', '/wiki/Fay_Wray')
('Katherine McNamara', '/wiki/Katherine_McNamara')
('Tamala Jones', '/wiki/Tamala_Jones')
('Maeve Quinlan', '/wiki/Maeve_Quinlan')
('Shirley MacLaine', '/wiki/Shirley_MacLaine')
('Judith Hoag', '/wiki/Judith_Hoag')
('Lori Singer', '/wiki/Lori_Singer')
('Hailee Steinfeld', '/wiki/Hailee_Steinfeld')
('Leisha Hailey', '/wiki/Leisha_Hailey')
('Doris Day', '/wiki/Doris_Day')
('Jayma Mays', '/wiki/Jayma_Mays')
('Leigh Taylor-Young', '/wiki/Leigh_Taylor-Young')
('Louise Robey', '/wiki/Louise_Robey')
('Joan Severance', '/wiki/Joan_Severance')
('Dorothy Provine', '/wiki/Dorothy_Provine')
('Gwen Welles', '/wiki/Gwen_Welles')
('Andrea Bendewald', '/wiki/Andrea_Bendewald')
('Yvette Mimieux', '/wiki/Yvette_Mimieux')
('Aly Michalka', '/wiki/Aly_Michalka')
('Sandra Bernhard', '/wiki/Sandra_Bernhard')
('Rosemary Murphy', '/wiki/Rosemary_Murphy')
('Molly Hagan', '/wiki/Molly_Hagan')
('Erin Gray', '/wiki/Erin_Gray')
('Jessica Rothe', '/wiki/Jessica_Rothe')
('Mary Pickford', '/wiki/Mary_Pickford')
('Renee Olstead', '/wiki/Renee_Olstead')
('Azura Skye', '/wiki/Azura_Skye')
('Jane Wyatt', '/wiki/Jane_Wyatt')
('Cyia Batten', '/wiki/Cyia_Batten')
('Paget Brewster', '/wiki/Paget_Brewster')
('Gene Tierney', '/wiki/Gene_Tierney')
('Vivian Vance', '/wiki/Vivian_Vance')
('Vesta Williams', '/wiki/Vesta_Williams')
('Brenda Vaccaro', '/wiki/Brenda_Vaccaro')
('Shannon Lucio', '/wiki/Shannon_Lucio')
('Nicole Beharie', '/wiki/Nicole_Beharie')
('Vanessa Hudgens', '/wiki/Vanessa_Hudgens')
('Lynne Thigpen', '/wiki/Lynne_Thigpen')
('Maria Menounos', '/wiki/Maria_Menounos')
('Jill Clayburgh', '/wiki/Jill_Clayburgh')
('Annabeth Gish', '/wiki/Annabeth_Gish')
('Julie Hagerty', '/wiki/Julie_Hagerty')
('Pia Zadora', '/wiki/Pia_Zadora')
('Mary Eaton', '/wiki/Mary_Eaton')
('Gwen Lee', '/wiki/Gwen_Lee')
('Janine Turner', '/wiki/Janine_Turner')
('Aunjanue Ellis', '/wiki/Aunjanue_Ellis')
('Jennifer Flavin', '/wiki/Jennifer_Flavin')
('Maria Bello', '/wiki/Maria_Bello')
('Denise Richards', '/wiki/Denise_Richards')
('Joan Blackman', '/wiki/Joan_Blackman')
('Haley Webb', '/wiki/Haley_Webb')
('Robinne Lee', '/wiki/Robinne_Lee')
('Tiffany Haddish', '/wiki/Tiffany_Haddish')
('Frances McDormand', '/wiki/Frances_McDormand')
('Ruth Chatterton', '/wiki/Ruth_Chatterton')
('Marg Helgenberger', '/wiki/Marg_Helgenberger')
('Judy Greer', '/wiki/Judy_Greer')
('Carole Lombard', '/wiki/Carole_Lombard')
('Dyan Cannon', '/wiki/Dyan_Cannon')
('Kristian Alfonso', '/wiki/Kristian_Alfonso')
('Bianca Lawson', '/wiki/Bianca_Lawson')
('Kathleen Wilhoite', '/wiki/Kathleen_Wilhoite')
('Frances Dee', '/wiki/Frances_Dee')
('Katie Aselton', '/wiki/Katie_Aselton')
('Nancy Carroll', '/wiki/Nancy_Carroll')
('Mary Anderson (actress, born 1918)', '/wiki/Mary_Anderson_(actress,_born_1918)')
('Kelly Overton (actress)', '/wiki/Kelly_Overton_(actress)')
('Roxann Dawson', '/wiki/Roxann_Dawson')
('Kim Novak', '/wiki/Kim_Novak')
('Frances Sternhagen', '/wiki/Frances_Sternhagen')
('Morgan York', '/wiki/Morgan_York')
('Lisa Robin Kelly', '/wiki/Lisa_Robin_Kelly')
('Penny Marshall', '/wiki/Penny_Marshall')
('Carrie Preston', '/wiki/Carrie_Preston')
('Zooey Deschanel', '/wiki/Zooey_Deschanel')
('Hilary Van Dyke', '/wiki/Hilary_Van_Dyke')
('Rachel Boston', '/wiki/Rachel_Boston')
('Anita Page', '/wiki/Anita_Page')
('Kim Cattrall', '/wiki/Kim_Cattrall')
('Dawn Wells', '/wiki/Dawn_Wells')
('Kiely Williams', '/wiki/Kiely_Williams')
('P. J. Soles', '/wiki/P._J._Soles')
('Brina Palencia', '/wiki/Brina_Palencia')
('Leslie Bibb', '/wiki/Leslie_Bibb')
('Constance Zimmer', '/wiki/Constance_Zimmer')
